Customer_ID,First_Name,Last_Name,Email,Phone,Membership_Levl,Points,Join_Date ,Last_Visit,Preferred_Theater_ID,Total_Spend,Visit_Frequency,Customer_Status,Preferred_Genre,Helper_Date,Helper_Customer_Status,Helper _Customer_Status distribution,New _ Helper_customer
1,Denver,Branston,dbranston0@360.cn,859-326-1535,Bronze,536,06/07/2023,05/07/2024,3,1200,1.6,Active,Drama,45478,Post-Implementation,3,Active
2,Artemus,Colliard,acolliard1@symantec.com,709-718-4710,Silver,139,23/11/2024,30/07/2024,1,175,0.4,Active,Documentary,45649,Post-Implementation,7,Active
3,Clint,Lofty,clofty2@home.pl,904-424-4643,Gold,944,13/08/2023,16/06/2024,4,1662,2,Active,Drama,45459,Post-Implementation,2,Active
4,Patrick,Steely,psteely3@youku.com,342-917-8292,Bronze,951,22/09/2023,11/04/2024,4,1026,2.4,Reactivated,Horror,45393,Post-Implementation,9,Reactivated
5,Arthur,Basey,abasey4@phoca.cz,374-130-3399,Silver,859,17/03/2022,08/09/2024,4,1274,0.1,Lapsed,Documentary,45543,Pre-Implementation,2,Lapsed
6,Oliviero,Mainland,omainland5@linkedin.com,947-773-5823,Bronze,87,10/08/2023,19/04/2024,3,446,2.3,Active,Sci-Fi,45401,Post-Implementation,7,Active
7,Ban,Benyon,bbenyon6@google.pl,568-914-3623,Gold,781,30/09/2024,30/03/2024,1,186,1.6,Active,Drama,45595,Post-Implementation,1,Active
8,Fan,Cafe,fcafe7@globo.com,942-219-0994,Gold,986,30/09/2023,27/09/2024,6,1843,0.9,Active,Drama,45562,Post-Implementation,5,Active
9,Killian,Boulger,kboulger8@netscape.com,234-741-1695,Silver,437,07/07/2023,11/07/2024,7,472,3.1,Active,Sci-Fi,45484,Post-Implementation,4,Active
10,Hamid,Cuddy,hcuddy9@springer.com,859-720-1376,Bronze,217,11/03/2024,15/04/2024,4,201,0.7,Active,Action,45397,Post-Implementation,5,Active
11,Fonzie,Esche,feschea@nydailynews.com,561-654-0453,Bronze,435,03/11/2023,28/02/2024,1,648,3.9,Lapsed,Sci-Fi,45350,Post-Implementation,10,Lapsed
12,Aldrich,Cassley,acassleyb@bandcamp.com,776-235-4351,Silver,872,15/02/2022,27/07/2024,7,1283,0.8,Active,Comedy,45500,Pre-Implementation,8,Active
13,Laney,O'Cassidy,locassidyc@amazon.co.jp,824-520-3033,Silver,521,13/01/2024,18/11/2024,5,751,1.4,Active,Family,45614,Post-Implementation,2,Active
14,Joscelin,Scarlan,jscarland@wisc.edu,287-904-4510,Silver,673,16/06/2022,08/03/2024,4,1169,0.4,Lapsed,Comedy,45359,Pre-Implementation,2,Lapsed
